model,defense_type,projection_mode,num_layers,per_layer_direction,epsilon,calibration_prompts,pertinent_layers,z_sum_norm,max_cos_sim,avg_cos_sim,pca8_score_undefended,pca8_score_defended,perlayer_score_undefended,perlayer_score_defended,arditi_score_undefended,arditi_score_defended,leace_score_undefended,leace_score_defended,kl_harmful,kl_harmless,harmbench_asr,xstest_over_refusal_rate,gsm8k_exact_match,math500_exact_match,mmlu_acc,llamaguard_asr,softopt_asr,gcg_score,gcg_asr,autodan_score,autodan_asr,cipherchat_best_asr,cipherchat_best_cipher,pair_score,pair_asr,renellm_asr,sweep_tag
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.05,128,"[9, 10, 11, 12, 13]",0.5247,0.7502,0.5288,0.6265,0.3514,0.4427,0.2283,5.6642,5.5325,-2.6800,-2.8964,0.000003,0.001009,0.0000,0.0000,0.6900,,0.6816,,,,,,,,,,,,sweep1_hadamard_eps0_05
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.1,128,"[9, 10, 11, 12, 13]",0.5960,0.7499,0.5291,0.6265,0.3152,0.4427,0.1847,5.6642,5.4976,-2.6800,-2.9605,0.000008,0.000865,0.0000,0.0000,0.7100,,0.6802,,,,,,,,,,,,sweep1_hadamard_eps0_1
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.15,128,"[9, 10, 11, 12, 13]",0.6968,0.7499,0.5294,0.6265,0.3195,0.4427,0.1956,5.6642,5.4964,-2.6800,-2.9974,0.000009,0.001365,0.0000,0.0000,0.7100,,0.6805,,,,,,,,,,,,sweep1_hadamard_eps0_15
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.2,128,"[9, 10, 11, 12, 13]",0.8164,0.7498,0.5299,0.6265,0.2877,0.4427,0.1709,5.6642,5.5274,-2.6800,-2.9796,0.000016,0.001494,0.0000,0.0000,0.7200,,0.6805,,,,,,,,,,,,sweep1_hadamard_eps0_2
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.3,128,"[9, 10, 11, 12, 13]",1.0863,0.7494,0.5304,0.6265,0.2358,0.4427,0.1942,5.6642,5.4316,-2.6800,-3.0879,0.000016,0.002540,0.0000,0.0000,0.6900,,0.6805,,,,,,,,,,,,sweep1_hadamard_eps0_3
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.01,128,"[9, 10, 11, 12, 13]",0.4996,0.7500,0.5285,0.6265,0.3398,0.4427,0.2247,5.6642,5.4339,-2.6800,-2.8997,0.000006,0.001112,0.0000,0.0000,0.6900,,0.6816,,,,,,,,,,,,sweep1_scalar_projection_eps0_01
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.025,128,"[9, 10, 11, 12, 13]",0.5061,0.7495,0.5279,0.6265,0.3405,0.4427,0.2146,5.6642,5.4711,-2.6800,-2.8548,0.000007,0.001036,0.0000,0.0000,0.7100,,0.6811,,,,,,,,,,,,sweep1_scalar_projection_eps0_025
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.05,128,"[9, 10, 11, 12, 13]",0.5196,0.7491,0.5275,0.6265,0.3238,0.4427,0.1944,5.6642,5.4176,-2.6800,-2.8822,0.000005,0.000694,0.0000,0.0000,0.7100,,0.6812,,,,,,,,,,,,sweep1_scalar_projection_eps0_05
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.1,128,"[9, 10, 11, 12, 13]",0.5559,0.7481,0.5267,0.6265,0.3066,0.4427,0.1934,5.6642,5.4008,-2.6800,-2.8223,0.000006,0.000929,0.0000,0.0000,0.7000,,0.6807,,,,,,,,,,,,sweep1_scalar_projection_eps0_1
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.15,128,"[9, 10, 11, 12, 13]",0.6024,0.7468,0.5254,0.6265,0.2397,0.4427,0.1601,5.6642,5.3161,-2.6800,-2.8446,0.000017,0.001675,0.0000,0.0000,0.7200,,0.6809,,,,,,,,,,,,sweep1_scalar_projection_eps0_15
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.2,128,"[9, 10, 11, 12, 13]",0.6571,0.7453,0.5241,0.6265,0.1839,0.4427,0.1373,5.6642,5.2077,-2.6800,-2.7659,0.000043,0.002586,0.0000,0.0000,0.7100,0.1200,0.6809,,,,,,,,,,,,sweep1_scalar_projection_eps0_2
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.3,128,"[9, 10, 11, 12, 13]",0.7839,0.7419,0.5218,0.6265,-0.0321,0.4427,0.0140,5.6642,4.9947,-2.6800,-2.8440,0.000205,0.003313,0.0100,0.0000,0.7100,0.1300,0.6816,,,,,,,,,,,,sweep1_scalar_projection_eps0_3
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,full,5,True,0.1,256,"[9, 10, 11, 12, 13]",20.5976,0.5445,0.4728,0.6265,1.7663,0.4427,3.7506,5.6642,1.8673,-2.6800,2.0377,0.019407,7.265558,0.0000,0.0000,0.0000,,0.2314,,,,,,,,,,,,sweep2_full_ncal256
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,full,5,True,0.1,32,"[9, 10, 11, 12, 13]",20.6032,0.5813,0.4975,0.6265,1.8557,0.4427,4.1328,5.6642,1.9823,-2.6800,1.1357,0.016117,7.217169,0.0000,0.0000,0.0000,,0.2314,,,,,,,,,,,,sweep2_full_ncal32
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,full,5,True,0.1,512,"[9, 10, 11, 12, 13]",20.5986,0.5395,0.4699,0.6265,1.6977,0.4427,3.6491,5.6642,1.6194,-2.6800,3.1589,0.023316,7.196768,0.0000,0.0000,0.0000,,0.2312,,,,,,,,,,,,sweep2_full_ncal512
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,full,5,True,0.1,64,"[9, 10, 11, 12, 13]",20.6027,0.5516,0.4766,0.6265,1.6293,0.4427,3.7134,5.6642,1.7428,-2.6800,2.4593,0.019551,7.292038,0.0000,0.0000,0.0000,,0.2316,,,,,,,,,,,,sweep2_full_ncal64
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.1,256,"[9, 10, 11, 12, 13]",0.6111,0.7499,0.5289,0.6265,0.3527,0.4427,0.1867,5.6642,5.4936,-2.6800,-2.9917,0.000009,0.001533,0.0000,0.0000,0.6900,,0.6804,,,,,,,,,,,,sweep2_hadamard_ncal256
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.1,32,"[9, 10, 11, 12, 13]",0.5892,0.7498,0.5285,0.6265,0.3552,0.4427,0.2539,5.6642,5.5614,-2.6800,-2.9860,0.000006,0.001084,0.0000,0.0000,0.7000,,0.6798,,,,,,,,,,,,sweep2_hadamard_ncal32
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.1,512,"[9, 10, 11, 12, 13]",0.6025,0.7500,0.5291,0.6265,0.3192,0.4427,0.1922,5.6642,5.4908,-2.6800,-3.1449,0.000011,0.001368,0.0000,0.0000,0.7200,,0.6819,,,,,,,,,,,,sweep2_hadamard_ncal512
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,True,0.1,64,"[9, 10, 11, 12, 13]",0.6358,0.7497,0.5290,0.6265,0.3350,0.4427,0.2092,5.6642,5.5223,-2.6800,-2.9316,0.000008,0.001374,0.0000,0.0000,0.6700,,0.6812,,,,,,,,,,,,sweep2_hadamard_ncal64
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.1,256,"[9, 10, 11, 12, 13]",0.5750,0.7482,0.5267,0.6265,0.2867,0.4427,0.1797,5.6642,5.3925,-2.6800,-2.6703,0.000006,0.000812,0.0000,0.0000,0.7300,,0.6823,,,,,,,,,,,,sweep2_scalar_projection_ncal256
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.1,32,"[9, 10, 11, 12, 13]",0.5549,0.7480,0.5261,0.6265,0.3157,0.4427,0.2322,5.6642,5.4325,-2.6800,-2.7320,0.000005,0.001098,0.0000,0.0000,0.7100,,0.6805,,,,,,,,,,,,sweep2_scalar_projection_ncal32
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.1,512,"[9, 10, 11, 12, 13]",0.5623,0.7482,0.5268,0.6265,0.3001,0.4427,0.2010,5.6642,5.3825,-2.6800,-2.8004,0.000008,0.001179,0.0000,0.0000,0.6900,,0.6816,,,,,,,,,,,,sweep2_scalar_projection_ncal512
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,True,0.1,64,"[9, 10, 11, 12, 13]",0.6068,0.7479,0.5268,0.6265,0.2514,0.4427,0.1957,5.6642,5.3636,-2.6800,-2.7602,0.000008,0.001117,0.0000,0.0000,0.7000,,0.6812,,,,,,,,,,,,sweep2_scalar_projection_ncal64
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,full,5,False,0.1,128,"[9, 10, 11, 12, 13]",20.5996,0.5419,0.4716,0.6265,1.7429,0.4427,3.8032,5.6642,1.9757,-2.6800,2.1931,0.017908,7.342356,0.0000,0.0000,0.0000,,0.2312,,,,,,,,,,,,sweep3_full_global
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,hadamard,5,False,0.1,128,"[9, 10, 11, 12, 13]",0.3969,0.7392,0.5146,0.6265,0.6202,0.4427,0.5401,5.6642,5.7976,-2.6800,-1.7873,0.000007,0.000757,0.0000,0.0000,0.7300,,0.6793,,,,,,,,,,,,sweep3_hadamard_global
meta-llama/Meta-Llama-3-8B-Instruct,obfuscation,scalar_projection,5,False,0.1,128,"[9, 10, 11, 12, 13]",0.2367,0.7343,0.5105,0.6265,0.5290,0.4427,0.5024,5.6642,5.6052,-2.6800,-1.7405,0.000007,0.000873,0.0000,0.0000,0.7000,,0.6798,,,,,,,,,,,,sweep3_scalar_projection_global
meta-llama/Meta-Llama-3-8B-Instruct,cast,—,11,False,0.1,32,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.0000,0.7497,0.3322,0.6265,0.6265,0.4427,0.4427,5.6642,5.6642,-2.6800,-2.6800,0.000000,0.000000,0.0000,0.0000,0.6900,,0.6826,,,,,,,,,,,,sweep4_cast
meta-llama/Meta-Llama-3-8B-Instruct,surgical,—,32,False,0.1,32,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.0000,0.7497,0.1748,0.6265,0.6265,0.4427,0.4427,5.6642,5.6642,-2.6800,-2.6800,0.000000,0.000000,0.1600,0.0000,0.6900,,0.6826,,,,,,,,,,,,sweep4_surgical
